Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,places_visited
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/3/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",10 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/4/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",11 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/5/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",12 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/6/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",13 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/7/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",14 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/8/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",15 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/9/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",16 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/10/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",17 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/11/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",18 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/12/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",19 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/13/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",20 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/14/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",21 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/15/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",22 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
"11/B5/10-1 06TH LANE, HANTANA,KANDY",194,8/16/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",23 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]"
