Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,places_visited,image_url
"11/B5/10-1 06TH LANE, HANTANA, KANDY",194,8/3/2017,7.7,THE THEVA RESIDENCY,Russian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,19,5,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",10 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]",https://i.travelapi.com/lodging/16000000/15090000/15084900/15084828/3f0e0163_z.jpg
"BOWALAWATTA, WAITRARAMA, ARANVA ROAD, KANDY",174,11/10/2017,9.9,MOUNT BATTEN BUNGALOW,Indian,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,7.6,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",109 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]","https://thema-collection.imgix.net/sites/7/2022/10/06.jpg?w=1080&h=760&fit=crop&crop=center&auto=format,enhance&q=10"
"NAWA GURUKELLE, DOLUWA, KANDY",174,2/18/2018,6.5,ELLERTON HOTEL,Chinese,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",209 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]",https://q-xx.bstatic.com/xdata/images/hotel/max750/211844311.jpg?k=73b4850e0ab2cb8705fcf80b732a335d7ebf9027c2b5c1dfe296f434abe7e97c&o=
"P.O. BOX. 28, WATTAHENA, KANDY",174,2/19/2018,5.2,MOUNT HAVANA LUXURY BOUTIQUE VILLA,Chinese,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",210 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]",https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/210393981.jpg?k=10735688b3731f88d5aecd3abc79ee7999148e828e836300276e58673fd5437a&o=
"78, MISTY HILLS, WALAGEDARA, WATTAPALA, KANDY.",174,2/20/2018,6.2,MOUNT PLEASANT,Chinese,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",211 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]",https://pix10.agoda.net/hotelImages/6988297/-1/b4a876d3fc955620b1225e4a14c3673d.jpg?ca=8&ce=1&s=1024x768
"395/95, HILL CREST GREEN ,BOWALAWATTE, UDA PERADENIYA, KANDY.",174,2/21/2018,9.2,CASA BLANCO,Chinese,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",212 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]",https://cf.bstatic.com/xdata/images/hotel/max500/235510821.jpg?k=066ef6777359057d66c79c8f1f1402453f2af146dd318bf78dff4cde04a42cc7&o=&hp=1
"322,TRANQUILITY, GALAHA ROAD, KANDY.",174,2/22/2018,6.7,CLUB LESPRI,Chinese,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",213 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]",https://www.google.com/url?sa=i&url=http%3A%2F%2Fwww.lespri.lk%2Fother-images%2F&psig=AOvVaw1WptaH4B4Kwy4j9NdisdXa&ust=1682872728350000&source=images&cd=vfe&ved=0CBEQjRxqFwoTCNDE5NLDz_4CFQAAAAAdAAAAABBI
"195/7A,RICHMOND HILL ESTATE, HEERASSAGALA, KANDY",174,2/23/2018,9,PARADISE KANDY,Chinese,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,9,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",214 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]",https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/243258400.jpg?k=920518fe6f56981b6055f3cd6ce0ce6e24a1ee9ecd89864221e4b5f8b3bbe09b&o=
"UDUWELA,HANTANE, KANDY",174,2/24/2018,5,JUNGLE TIDE,Chinese,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,9,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",215 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]",https://www.jungletide.com/wp-content/uploads/2019/05/house-to-the-mountains.jpg
"AMUNUGAMA WALAWWA GUNNAPANA, KANDY",174,2/18/2018,8.9,THE KANDY HOUSE,Chinese,No Negative,0,1500, Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,22,7,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device']",209 days,48.2037451,16.3356767,"[Sri Dalada Maligawa,Royal Botanical Garden Peradeniya,Kandy national museum,Old Royal Palace,World Buddhist Museum]",https://www.manorhouseconcepts.com/wp-content/uploads/2020/11/DNR04555-Edit-scaled.jpg
